,date,death,deathIncrease,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,pending,posNeg,positive,positiveIncrease,states,total,totalTestResults,totalTestResultsIncrease,dateChecked,id_city,multiplication_factor
23,20200626,79015,757,94548,94548,26190,1217,6607,6292,5240441,124235,547,2972,2774,0,1412601,15356,43,0,14708965,347338,2020-06-02T24:00:00Z,1,0.7713286
24,20200627,91313,875,109264,109264,30266,1406,7635,7271,6056067,143571,632,3435,3206,0,1632459,17746,49,0,16998279,401398,2020-06-02T24:00:00Z,1,0.89137876
25,20200628,105209,1008,125892,125892,34872,1620,8797,8378,6977673,165420,729,3958,3694,0,1880885,20447,57,0,19585059,462482,2020-06-02T24:00:00Z,1,1.0270278
26,20200629,136937,1312,163857,163857,45389,2109,11450,10905,9081937,215306,949,5151,4808,0,2448106,26613,74,0,25491346,601954,2020-06-02T24:00:00Z,1,1.3367497
27,20200630,84639,811,101277,101277,28054,1303,7077,6740,5613404,133077,586,3184,2971,0,1513136,16449,46,0,15755805,372058,2020-06-02T24:00:00Z,1,0.8262242
28,20200701,140758,1349,168429,168429,46655,2168,11770,11209,9335336,221313,975,5295,4942,0,2516411,27355,76,0,26202590,618749,2020-06-02T24:00:00Z,1,1.3740469
29,20200702,146270,1402,175024,175024,48482,2253,12230,11648,9700864,229979,1013,5502,5135,0,2614942,28427,79,0,27228561,642977,2020-06-02T24:00:00Z,1,1.4278481
30,20200703,61916,593,74087,74087,20522,953,5177,4930,4106369,97350,429,2329,2174,0,1106903,12033,33,0,11525833,272171,2020-06-02T24:00:00Z,1,0.60440725
31,20200704,147211,1411,176151,176151,48794,2267,12309,11723,9763321,231459,1020,5538,5169,0,2631778,28610,80,0,27403865,647116,2020-06-02T24:00:00Z,1,1.4370409
32,20200705,84503,810,101115,101115,28009,1301,7066,6729,5604433,132864,585,3179,2967,0,1510718,16423,46,0,15730624,371464,2020-06-02T24:00:00Z,1,0.8249038
33,20200706,107768,1033,128953,128953,35720,1660,9011,8582,7147382,169443,746,4054,3784,0,1926631,20944,58,0,20061402,473731,2020-06-02T24:00:00Z,1,1.052007
34,20200707,130116,1247,155694,155694,43128,2004,10880,10361,8629518,204580,901,4895,4568,0,2326152,25287,71,0,24221487,571967,2020-06-02T24:00:00Z,1,1.2701591
35,20200708,159238,1526,190541,190541,52780,2452,13315,12681,10560913,250368,1103,5990,5591,0,2846775,30947,87,0,29642563,699981,2020-06-02T24:00:00Z,1,1.5544368
36,20200709,56001,536,67009,67009,18562,862,4682,4459,3714082,88050,388,2106,1966,0,1001159,10883,30,0,10424754,246170,2020-06-02T24:00:00Z,1,0.5466674
37,20200710,85327,817,102101,102101,28282,1314,7135,6795,5659062,134159,591,3210,2996,0,1525443,16583,46,0,15883959,375084,2020-06-02T24:00:00Z,1,0.8329446
38,20200711,99602,954,119182,119182,33014,1534,8328,7931,6605808,156604,690,3747,3497,0,1780646,19357,54,0,18541301,437835,2020-06-02T24:00:00Z,1,0.97229385
39,20200712,126091,1208,150879,150879,41794,1942,10543,10041,8362607,198253,873,4743,4427,0,2254204,24505,68,0,23472316,554276,2020-06-02T24:00:00Z,1,1.2308731
40,20200713,116987,1121,139985,139985,38776,1802,9782,9316,7758794,183938,810,4401,4107,0,2091442,22736,63,0,21777524,514255,2020-06-02T24:00:00Z,1,1.1419992
41,20200714,146558,1404,175369,175369,48578,2257,12255,11671,9720018,230433,1015,5513,5146,0,2620105,28483,80,0,27282322,644246,2020-06-02T24:00:00Z,1,1.4306673
42,20200715,105985,1015,126820,126820,35129,1632,8862,8440,7029148,166640,734,3987,3721,0,1894760,20597,57,0,19729539,465894,2020-06-02T24:00:00Z,1,1.0346043
43,20200716,105853,1014,126662,126662,35086,1630,8851,8429,7020380,166432,733,3982,3716,0,1892397,20572,57,0,19704929,465313,2020-06-02T24:00:00Z,1,1.0333138
44,20200717,68831,659,82362,82362,22814,1060,5755,5481,4565035,108223,477,2589,2416,0,1230540,13377,37,0,12813223,302572,2020-06-02T24:00:00Z,1,0.67191714
45,20200718,91751,879,109788,109788,30411,1413,7672,7306,6085114,144260,635,3451,3221,0,1640289,17831,50,0,17079808,403323,2020-06-02T24:00:00Z,1,0.89565414
46,20200719,149115,1429,178428,178428,49425,2296,12468,11874,9889559,234452,1033,5609,5235,0,2665806,28979,81,0,27758193,655483,2020-06-02T24:00:00Z,1,1.4556217
47,20200720,115918,1111,138706,138706,38422,1785,9692,9231,7687899,182257,803,4361,4070,0,2072332,22528,63,0,21578535,509557,2020-06-02T24:00:00Z,1,1.1315645
48,20200721,160886,1542,192514,192514,53327,2478,13453,12812,10670265,252960,1115,6052,5649,0,2876252,31267,87,0,29949494,707229,2020-06-02T24:00:00Z,1,1.5705321
49,20200722,111809,1071,133788,133788,37060,1722,9349,8904,7415348,175796,774,4206,3925,0,1998864,21729,61,0,20813534,491492,2020-06-02T24:00:00Z,1,1.0914483
50,20200723,53706,514,64264,64264,17801,827,4490,4276,3561912,84442,372,2020,1885,0,960140,10437,29,0,9997641,236084,2020-06-02T24:00:00Z,1,0.5242698
51,20200724,75346,722,90157,90157,24974,1160,6300,6000,4997062,118465,522,2834,2645,0,1346996,14643,41,0,14025846,331207,2020-06-02T24:00:00Z,1,0.7355063
52,20200725,145453,1394,174047,174047,48211,2240,12162,11583,9646722,228695,1008,5472,5107,0,2600348,28268,79,0,27076594,639388,2020-06-02T24:00:00Z,1,1.4198791
53,20200726,107708,1032,128882,128882,35701,1659,9006,8577,7143422,169349,746,4052,3781,0,1925564,20932,58,0,20050288,473468,2020-06-02T24:00:00Z,1,1.0514241
54,20200727,147150,1410,176077,176077,48774,2266,12304,11718,9759266,231363,1019,5536,5166,0,2630685,28598,80,0,27392484,646848,2020-06-02T24:00:00Z,1,1.4364442
55,20200728,61331,587,73388,73388,20329,944,5128,4884,4067624,96431,425,2307,2153,0,1096459,11919,33,0,11417082,269603,2020-06-02T24:00:00Z,1,0.5987044
56,20200729,160752,1540,192353,192353,53282,2476,13441,12801,10661330,252749,1114,6047,5644,0,2873843,31241,87,0,29924414,706637,2020-06-02T24:00:00Z,1,1.569217
57,20200730,77182,739,92354,92354,25582,1188,6453,6146,5118841,121352,534,2903,2710,0,1379823,15000,42,0,14367656,339278,2020-06-02T24:00:00Z,1,0.7534306
58,20200731,70579,676,84453,84453,23394,1087,5901,5620,4680932,110971,489,2655,2478,0,1261781,13716,38,0,13138525,310254,2020-06-02T24:00:00Z,1,0.68897575
59,20200801,119540,1145,143039,143039,39622,1841,9995,9519,7928079,187951,828,4497,4197,0,2137074,23232,65,0,22252676,525476,2020-06-02T24:00:00Z,1,1.166916
60,20200802,142338,1364,170319,170319,47179,2192,11902,11335,9440087,223796,986,5354,4997,0,2544648,27662,77,0,26496607,625692,2020-06-02T24:00:00Z,1,1.389465
61,20200803,56532,541,67645,67645,18738,870,4727,4502,3749315,88885,391,2126,1985,0,1010656,10986,30,0,10523647,248506,2020-06-02T24:00:00Z,1,0.5518533
62,20200804,60044,575,71848,71848,19902,924,5020,4781,3982247,94407,416,2258,2108,0,1073445,11669,32,0,11177445,263944,2020-06-02T24:00:00Z,1,0.586138
63,20200805,108930,1044,130343,130343,36105,1677,9108,8674,7224419,171269,754,4098,3824,0,1947397,21170,59,0,20277629,478837,2020-06-02T24:00:00Z,1,1.0633458
64,20200806,151964,1456,181837,181837,50369,2340,12707,12101,10078499,238931,1053,5717,5335,0,2716736,29533,83,0,28288514,668006,2020-06-02T24:00:00Z,1,1.4834315
65,20200807,91316,875,109267,109267,30267,1406,7635,7272,6056254,143576,632,3435,3206,0,1632509,17747,49,0,16998804,401410,2020-06-02T24:00:00Z,1,0.8914063
66,20200808,84616,811,101250,101250,28046,1303,7075,6738,5611904,133041,586,3183,2971,0,1512732,16444,46,0,15751595,371959,2020-06-02T24:00:00Z,1,0.8260035
67,20200809,151573,1452,181369,181369,50240,2334,12674,12070,10052585,238317,1050,5702,5322,0,2709751,29457,82,0,28215777,666289,2020-06-02T24:00:00Z,1,1.4796171
68,20200810,131753,1262,157653,157653,43670,2029,11017,10492,8738064,207154,913,4956,4626,0,2355412,25605,72,0,24526157,579162,2020-06-02T24:00:00Z,1,1.2861358
69,20200811,77532,743,92774,92774,25698,1194,6483,6174,5142093,121904,537,2916,2722,0,1386090,15068,42,0,14432921,340820,2020-06-02T24:00:00Z,1,0.75685304
70,20200812,119874,1149,143440,143440,39733,1846,10023,9546,7950290,188478,830,4509,4209,0,2143061,23297,65,0,22315019,526948,2020-06-02T24:00:00Z,1,1.1701852
71,20200813,120793,1157,144538,144538,40038,1860,10100,9619,8011191,189922,837,4544,4241,0,2159478,23475,66,0,22485957,530984,2020-06-02T24:00:00Z,1,1.179149
72,20200814,160196,1535,191688,191688,53098,2467,13395,12757,10624473,251875,1110,6026,5624,0,2863908,31133,87,0,29820963,704194,2020-06-02T24:00:00Z,1,1.563792
73,20200815,155870,1494,186512,186512,51664,2401,13033,12412,10337590,245074,1080,5864,5473,0,2786576,30292,85,0,29015735,685179,2020-06-02T24:00:00Z,1,1.5215664
74,20200816,58003,556,69405,69405,19225,893,4850,4619,3846881,91198,402,2182,2036,0,1036956,11272,31,0,10797495,254972,2020-06-02T24:00:00Z,1,0.56621367
75,20200817,87382,837,104559,104559,28963,1346,7306,6958,5795325,137390,605,3287,3068,0,1562174,16982,47,0,16266423,384116,2020-06-02T24:00:00Z,1,0.85300076
76,20200818,139144,1333,166497,166497,46120,2143,11635,11080,9228268,218775,964,5234,4885,0,2487550,27042,76,0,25902069,611653,2020-06-02T24:00:00Z,1,1.3582878
77,20200819,109018,1045,130449,130449,36135,1679,9116,8681,7230276,171408,755,4101,3827,0,1948976,21187,59,0,20294071,479225,2020-06-02T24:00:00Z,1,1.0642079
78,20200820,66222,634,79240,79240,21950,1020,5537,5273,4391996,104121,458,2491,2325,0,1183896,12870,36,0,12327534,291103,2020-06-02T24:00:00Z,1,0.6464479
79,20200821,51876,497,62074,62074,17194,799,4337,4131,3440535,81565,359,1951,1821,0,927422,10082,28,0,9656958,228040,2020-06-02T24:00:00Z,1,0.50640464
80,20200822,67566,647,80849,80849,22395,1040,5649,5380,4481139,106234,468,2541,2372,0,1207925,13131,36,0,12577743,297011,2020-06-02T24:00:00Z,1,0.6595687
81,20200823,82504,790,98723,98723,27347,1270,6898,6570,5471853,129721,571,3103,2896,0,1474980,16034,45,0,15358497,362676,2020-06-02T24:00:00Z,1,0.80538964
82,20200824,82746,793,99012,99012,27427,1274,6919,6589,5487862,130101,573,3113,2905,0,1479295,16081,45,0,15403430,363737,2020-06-02T24:00:00Z,1,0.80774593
83,20200825,54223,519,64883,64883,17972,835,4534,4318,3596203,85255,375,2039,1903,0,969384,10538,29,0,10093887,238357,2020-06-02T24:00:00Z,1,0.52931696
84,20200826,146735,1406,175581,175581,48636,2260,12269,11685,9731733,230711,1016,5520,5152,0,2623263,28517,80,0,27315206,645023,2020-06-02T24:00:00Z,1,1.4323918
85,20200827,156698,1502,187502,187502,51939,2413,13102,12478,10392483,246375,1086,5895,5502,0,2801373,30453,85,0,29169810,688817,2020-06-02T24:00:00Z,1,1.529646
86,20200828,100738,965,120541,120541,33390,1551,8423,8022,6681133,158390,698,3789,3537,0,1800950,19578,55,0,18752726,442828,2020-06-02T24:00:00Z,1,0.98338085
87,20200829,71873,688,86002,86002,23823,1107,6010,5723,4766788,113006,498,2704,2523,0,1284924,13968,39,0,13379508,315944,2020-06-02T24:00:00Z,1,0.7016128
88,20200830,71428,684,85470,85470,23675,1100,5972,5688,4737260,112306,495,2687,2508,0,1276965,13881,39,0,13296629,313987,2020-06-02T24:00:00Z,1,0.69726664
89,20200831,111366,1067,133259,133259,36913,1715,9312,8868,7386004,175100,771,4189,3910,0,1990954,21643,60,0,20731170,489547,2020-06-02T24:00:00Z,1,1.0871291
90,20200901,161801,1551,193609,193609,53630,2492,13529,12885,10730952,254399,1121,6087,5681,0,2892610,31445,88,0,30119830,711251,2020-06-02T24:00:00Z,1,1.5794644
91,20200902,84720,812,101374,101374,28081,1305,7084,6746,5618768,133204,587,3187,2974,0,1514582,16465,46,0,15770860,372414,2020-06-02T24:00:00Z,1,0.82701373
92,20200903,112998,1083,135212,135212,37454,1740,9448,8998,7494248,177666,783,4251,3967,0,2020132,21960,61,0,21034990,496721,2020-06-02T24:00:00Z,1,1.1030613
93,20200904,84610,811,101243,101243,28044,1303,7075,6738,5611493,133032,586,3183,2970,0,1512621,16443,46,0,15750440,371932,2020-06-02T24:00:00Z,1,0.82594293
94,20200905,78441,751,93861,93861,26000,1208,6559,6246,5202338,123332,543,2951,2754,0,1402330,15244,42,0,14602016,344813,2020-06-02T24:00:00Z,1,0.7657203
95,20200906,51754,496,61928,61928,17154,797,4327,4121,3432440,81373,358,1947,1817,0,925240,10058,28,0,9634236,227503,2020-06-02T24:00:00Z,1,0.50521314
96,20200907,142829,1369,170907,170907,47342,2200,11943,11374,9472685,224569,989,5373,5015,0,2553435,27758,78,0,26588105,627853,2020-06-02T24:00:00Z,1,1.394263
97,20200908,55222,529,66078,66078,18303,850,4617,4397,3662433,86825,382,2077,1939,0,987237,10732,30,0,10279784,242747,2020-06-02T24:00:00Z,1,0.53906524
98,20200909,55070,527,65896,65896,18253,848,4604,4385,3652364,86586,381,2071,1933,0,984522,10702,30,0,10251523,242080,2020-06-02T24:00:00Z,1,0.5375833
99,20200910,122863,1177,147016,147016,40724,1892,10273,9784,8148489,193176,851,4622,4314,0,2196487,23878,67,0,22871327,540085,2020-06-02T24:00:00Z,1,1.1993576
100,20200911,79288,760,94875,94875,26280,1221,6630,6314,5258532,124664,549,2982,2784,0,1417477,15409,43,0,14759744,348537,2020-06-02T24:00:00Z,1,0.77399147
101,20200912,120693,1156,144419,144419,40004,1859,10092,9611,8004575,189765,836,4540,4237,0,2157694,23456,65,0,22467387,530546,2020-06-02T24:00:00Z,1,1.1781752
102,20200913,90753,869,108594,108594,30081,1397,7588,7227,6018940,142691,628,3414,3186,0,1622451,17637,49,0,16894070,398937,2020-06-02T24:00:00Z,1,0.88591415
103,20200914,83022,795,99342,99342,27518,1278,6942,6611,5506151,130534,575,3123,2915,0,1484225,16135,45,0,15454764,364949,2020-06-02T24:00:00Z,1,0.81043786
104,20200915,53591,513,64126,64126,17763,825,4481,4267,3554259,84261,371,2016,1881,0,958077,10415,29,0,9976158,235577,2020-06-02T24:00:00Z,1,0.5231433
105,20200916,129603,1242,155080,155080,42958,1996,10837,10321,8595490,203774,898,4875,4550,0,2316980,25187,70,0,24125976,569712,2020-06-02T24:00:00Z,1,1.2651505
106,20200917,69110,662,82695,82695,22907,1064,5778,5503,4583493,108661,478,2600,2426,0,1235515,13431,37,0,12865031,303795,2020-06-02T24:00:00Z,1,0.6746339
107,20200918,152545,1462,182532,182532,50562,2349,12755,12148,10117028,239845,1057,5739,5356,0,2727122,29646,83,0,28396658,670560,2020-06-02T24:00:00Z,1,1.4891024
108,20200919,90961,871,108842,108842,30149,1401,7606,7243,6032680,143017,630,3422,3193,0,1626155,17677,49,0,16932636,399848,2020-06-02T24:00:00Z,1,0.8879365
109,20200920,77790,745,93082,93082,25784,1198,6504,6194,5159156,122308,539,2926,2731,0,1390690,15118,42,0,14480812,341950,2020-06-02T24:00:00Z,1,0.7593644
110,20200921,68032,652,81406,81406,22550,1047,5688,5417,4512048,106967,471,2559,2388,0,1216257,13221,37,0,12664500,299060,2020-06-02T24:00:00Z,1,0.6641182
111,20200922,88814,851,106273,106273,29438,1368,7426,7072,5890322,139642,615,3341,3118,0,1587781,17260,48,0,16533062,390412,2020-06-02T24:00:00Z,1,0.8669831
112,20200923,54081,518,64712,64712,17925,833,4522,4306,3586761,85031,374,2034,1898,0,966839,10510,29,0,10067386,237731,2020-06-02T24:00:00Z,1,0.5279272
113,20200924,134185,1286,160563,160563,44476,2066,11220,10685,8899379,210978,930,5048,4711,0,2398896,26078,73,0,24978938,589854,2020-06-02T24:00:00Z,1,1.3098794
114,20200925,72621,696,86897,86897,24070,1118,6072,5783,4816350,114181,503,2732,2549,0,1298284,14113,39,0,13518618,319229,2020-06-02T24:00:00Z,1,0.7089076
115,20200926,156400,1499,187146,187146,51840,2409,13078,12455,10372740,245907,1083,5884,5491,0,2796051,30395,85,0,29114396,687509,2020-06-02T24:00:00Z,1,1.5267401
116,20200927,85104,815,101834,101834,28208,1310,7116,6777,5644283,133809,589,3201,2988,0,1521459,16539,46,0,15842475,374105,2020-06-02T24:00:00Z,1,0.8307692
117,20200928,56266,539,67327,67327,18650,866,4704,4480,3731700,88467,389,2116,1975,0,1005908,10935,30,0,10474203,247338,2020-06-02T24:00:00Z,1,0.5492605
118,20200929,94458,905,113027,113027,31309,1455,7898,7522,6264648,148516,654,3553,3316,0,1688684,18357,51,0,17583728,415223,2020-06-02T24:00:00Z,1,0.9220793
119,20200930,150371,1441,179931,179931,49841,2316,12573,11974,9972848,236427,1042,5657,5279,0,2688257,29224,82,0,27991970,661004,2020-06-02T24:00:00Z,1,1.4678808
120,20200603,119165,1142,142591,142591,39498,1835,9964,9489,7903229,187362,825,4483,4184,0,2130376,23159,65,0,22182927,523829,2020-06-02T24:00:00Z,2,1.1632583
121,20200604,76551,733,91600,91600,25373,1179,6401,6096,5077019,120361,530,2879,2687,0,1368549,14877,41,0,14250268,336506,2020-06-02T24:00:00Z,2,0.7472749
122,20200605,77191,739,92365,92365,25585,1189,6454,6147,5119450,121367,534,2904,2710,0,1379987,15001,42,0,14369364,339319,2020-06-02T24:00:00Z,2,0.7535202
123,20200606,160779,1541,192385,192385,53291,2476,13444,12803,10663121,252791,1114,6048,5645,0,2874326,31246,87,0,29929442,706755,2020-06-02T24:00:00Z,2,1.5694805
124,20200607,97056,930,116136,116136,32170,1495,8115,7729,6436943,152601,672,3651,3407,0,1735127,18862,53,0,18067329,426643,2020-06-02T24:00:00Z,2,0.9474391
125,20200608,156966,1504,187823,187823,52028,2417,13125,12500,10410278,246797,1087,5905,5511,0,2806170,30505,85,0,29219758,689997,2020-06-02T24:00:00Z,2,1.5322652
126,20200609,106779,1023,127770,127770,35393,1644,8928,8503,7081801,167888,740,4017,3749,0,1908954,20752,58,0,19877328,469384,2020-06-02T24:00:00Z,2,1.0423542
127,20200610,81012,776,96938,96938,26852,1247,6774,6451,5372880,127375,561,3047,2844,0,1448301,15744,44,0,15080696,356116,2020-06-02T24:00:00Z,2,0.79082197
128,20200611,63843,612,76394,76394,21161,983,5338,5084,4234208,100380,442,2401,2241,0,1141363,12407,34,0,11884651,280644,2020-06-02T24:00:00Z,2,0.6232234
129,20200612,66850,640,79992,79992,22158,1029,5589,5323,4433655,105109,463,2515,2347,0,1195125,12992,36,0,12444464,293864,2020-06-02T24:00:00Z,2,0.65257967
130,20200613,83622,801,100060,100060,27717,1288,6992,6659,5545958,131478,579,3146,2936,0,1494955,16251,45,0,15566496,367588,2020-06-02T24:00:00Z,2,0.816297
131,20200614,143242,1373,171401,171401,47479,2206,11977,11407,9500094,225219,992,5389,5029,0,2560823,27838,78,0,26665036,629670,2020-06-02T24:00:00Z,2,1.3982972
132,20200615,97170,931,116271,116271,32207,1496,8125,7738,6444471,152779,673,3655,3411,0,1737156,18884,53,0,18088458,427142,2020-06-02T24:00:00Z,2,0.94854707
133,20200616,109347,1048,130843,130843,36244,1684,9143,8708,7252115,171926,757,4113,3839,0,1954863,21251,59,0,20355367,480673,2020-06-02T24:00:00Z,2,1.0674223
134,20200617,156758,1502,187574,187574,51959,2414,13107,12483,10396472,246470,1086,5897,5504,0,2802448,30465,85,0,29181005,689082,2020-06-02T24:00:00Z,2,1.530233
135,20200618,111803,1071,133781,133781,37058,1722,9348,8903,7414974,175787,774,4206,3925,0,1998763,21728,61,0,20812483,491467,2020-06-02T24:00:00Z,2,1.0913932
136,20200619,113635,1089,135973,135973,37665,1750,9502,9049,7536453,178667,787,4275,3990,0,2031508,22084,62,0,21153453,499519,2020-06-02T24:00:00Z,2,1.1092734
137,20200620,89131,854,106653,106653,29543,1372,7453,7098,5911348,140140,617,3353,3129,0,1593449,17322,48,0,16592078,391806,2020-06-02T24:00:00Z,2,0.8700779
138,20200621,54853,525,65636,65636,18181,844,4586,4368,3637959,86245,380,2063,1926,0,980639,10660,29,0,10211090,241125,2020-06-02T24:00:00Z,2,0.535463
139,20200622,53434,512,63938,63938,17711,823,4468,4255,3543858,84014,370,2010,1876,0,955274,10384,29,0,9946966,234888,2020-06-02T24:00:00Z,2,0.52161247
140,20200623,86861,832,103937,103937,28791,1338,7263,6917,5760810,136572,602,3267,3049,0,1552870,16881,47,0,16169547,381828,2020-06-02T24:00:00Z,2,0.8479206
141,20200624,119819,1148,143374,143374,39715,1845,10019,9541,7946635,188391,830,4507,4207,0,2142076,23286,65,0,22304759,526706,2020-06-02T24:00:00Z,2,1.1696472
142,20200625,134294,1287,160694,160694,44513,2068,11229,10694,8906638,211150,930,5052,4715,0,2400852,26099,73,0,24999312,590335,2020-06-02T24:00:00Z,2,1.3109478
143,20200626,63977,613,76553,76553,21205,985,5349,5094,4243054,100590,443,2406,2246,0,1143747,12433,34,0,11909481,281231,2020-06-02T24:00:00Z,2,0.6245255
144,20200627,162753,1560,194747,194747,53946,2507,13609,12961,10794049,255895,1128,6123,5714,0,2909619,31630,88,0,30296933,715433,2020-06-02T24:00:00Z,2,1.5887516
145,20200628,143682,1377,171927,171927,47624,2213,12014,11442,9529251,225910,995,5405,5045,0,2568682,27924,78,0,26746873,631602,2020-06-02T24:00:00Z,2,1.4025887
146,20200629,79180,759,94746,94746,26245,1219,6621,6305,5251404,124495,548,2978,2780,0,1415556,15388,43,0,14739737,348065,2020-06-02T24:00:00Z,2,0.7729423
147,20200630,66265,635,79292,79292,21964,1020,5541,5277,4394833,104188,459,2493,2326,0,1184661,12878,36,0,12335497,291291,2020-06-02T24:00:00Z,2,0.6468655
148,20200701,114860,1101,137440,137440,38071,1769,9604,9147,7617740,180594,796,4321,4033,0,2053420,22322,62,0,21381612,504906,2020-06-02T24:00:00Z,2,1.1212379
149,20200702,160907,1542,192539,192539,53334,2478,13454,12814,10671646,252993,1115,6053,5649,0,2876624,31271,87,0,29953369,707320,2020-06-02T24:00:00Z,2,1.5707353
150,20200703,80586,772,96428,96428,26711,1241,6738,6417,5344635,126705,558,3031,2829,0,1440687,15661,44,0,15001419,354244,2020-06-02T24:00:00Z,2,0.7866647
151,20200704,162472,1557,194412,194412,53853,2502,13585,12938,10775451,255454,1126,6112,5704,0,2904605,31575,88,0,30244731,714201,2020-06-02T24:00:00Z,2,1.5860142
152,20200705,154393,1480,184744,184744,51175,2378,12910,12295,10239603,242751,1070,5808,5421,0,2760163,30005,84,0,28740705,678685,2020-06-02T24:00:00Z,2,1.507144
153,20200706,59409,569,71087,71087,19691,915,4967,4731,3940103,93408,411,2235,2086,0,1062085,11545,32,0,11059154,261151,2020-06-02T24:00:00Z,2,0.5799349
154,20200707,133649,1281,159922,159922,44299,2058,11175,10643,8863837,210135,926,5028,4692,0,2389315,25974,73,0,24879179,587498,2020-06-02T24:00:00Z,2,1.304648
155,20200708,77353,741,92559,92559,25639,1191,6468,6160,5130214,121622,536,2910,2716,0,1382888,15033,42,0,14399579,340032,2020-06-02T24:00:00Z,2,0.75510466
